Activity	Subject	tBodyAccMeanX	tBodyAccMeanY	tBodyAccMeanZ	tBodyAccStdX	tBodyAccStdY	tBodyAccStdZ	tGravityAccMeanX	tGravityAccMeanY	tGravityAccMeanZ	tGravityAccStdX	tGravityAccStdY	tGravityAccStdZ	tBodyAccJerkMeanX	tBodyAccJerkMeanY	tBodyAccJerkMeanZ	tBodyAccJerkStdX	tBodyAccJerkStdY	tBodyAccJerkStdZ	tBodyGyroMeanX	tBodyGyroMeanY	tBodyGyroMeanZ	tBodyGyroStdX	tBodyGyroStdY	tBodyGyroStdZ	tBodyGyroJerkMeanX	tBodyGyroJerkMeanY	tBodyGyroJerkMeanZ	tBodyGyroJerkStdX	tBodyGyroJerkStdY	tBodyGyroJerkStdZ	tBodyAccMagMean	tBodyAccMagStd	tGravityAccMagMean	tGravityAccMagStd	tBodyAccJerkMagMean	tBodyAccJerkMagStd	tBodyGyroMagMean	tBodyGyroMagStd	tBodyGyroJerkMagMean	tBodyGyroJerkMagStd	fBodyAccMeanX	fBodyAccMeanY	fBodyAccMeanZ	fBodyAccStdX	fBodyAccStdY	fBodyAccStdZ	fBodyAccMeanFreqX	fBodyAccMeanFreqY	fBodyAccMeanFreqZ	fBodyAccJerkMeanX	fBodyAccJerkMeanY	fBodyAccJerkMeanZ	fBodyAccJerkStdX	fBodyAccJerkStdY	fBodyAccJerkStdZ	fBodyAccJerkMeanFreqX	fBodyAccJerkMeanFreqY	fBodyAccJerkMeanFreqZ	fBodyGyroMeanX	fBodyGyroMeanY	fBodyGyroMeanZ	fBodyGyroStdX	fBodyGyroStdY	fBodyGyroStdZ	fBodyGyroMeanFreqX	fBodyGyroMeanFreqY	fBodyGyroMeanFreqZ	fBodyAccMagMean	fBodyAccMagStd	fBodyAccMagMeanFreq	fBodyBodyAccJerkMagMean	fBodyBodyAccJerkMagStd	fBodyBodyAccJerkMagMeanFreq	fBodyBodyGyroMagMean	fBodyBodyGyroMagStd	fBodyBodyGyroMagMeanFreq	fBodyBodyGyroJerkMagMean	fBodyBodyGyroJerkMagStd	fBodyBodyGyroJerkMagMeanFreq	"angletBodyAccMean,gravity"	"angletBodyAccJerkMean,gravityMean"	"angletBodyGyroMean,gravityMean"	"angletBodyGyroJerkMean,gravityMean"	"angleX,gravityMean"	"angleY,gravityMean"	"angleZ,gravityMean"
WALKING_DOWNSTAIRS	2	0.277615348	-0.022661416	-0.116812942	0.046366681	0.262881789	-0.102837908	-0.062712762	0.206997256	-0.118190945	0.514219681	0.166161042	-0.233185062	0.152424962	-0.153101123	0.165005245	0.106830196	-0.442842739	-0.686727264	-0.617498609	-0.357529327	-0.144548046	-0.191592563	0.078596833	0.388665697	0.235278775	-0.236356613	0.221909981	-0.177685386	0.249360962	-0.111592149	0.123361148	0.106817568	0.05893312	-0.041302896	0.096531068	0.041607932	-0.068904019	-0.635129255	-0.247933472	0.162723855	0.861831346	-0.325780101	-0.043889016	-0.94036176	-0.940068526	-0.931438313	-0.940392786	-0.940555872	-0.932341936	0.809803481	-0.327251133	-0.036910508	0.864411659	-0.312180461	-0.058180869	0.085485661	0.641964148	-0.815436939	-0.909737833	-0.941966407	-0.942846136	-0.936192329	-0.160476242	-1	-0.466614095	-0.511788068	0.579217207	-0.645711035	0.711250665	-0.236375436	0.261692436	-0.340674552	0.439263004	-0.284251839	0.327368329	-0.369490685	0.408117656	0.37263846	0.025501103	0.045182264	0.110040616	-0.003279591	-0.020935168	0.147249143	0.126828015	-0.340122023
WALKING_UPSTAIRS	2	0.24716479	-0.021412113	-0.1525139	-0.304376406	0.10802728	-0.112121021	-0.361106809	0.113198669	-0.151313527	0.055617894	-0.052446452	-0.340458121	0.247447675	0.001831594	0.16613331	-0.09092719	-0.75261954	-0.758782738	-0.616762953	-0.486053259	-0.094793175	-0.284847268	0.236298761	0.295978257	0.109249252	-0.210124211	0.22157572	-0.273792544	0.300599487	-0.153766258	0.150632529	0.01560042	0.037967881	-0.200100692	0.1024947	-0.036773121	0.065006855	-0.431575934	-0.411630791	0.18153981	0.790717419	-0.41621489	-0.195888239	-0.93440774	-0.923767454	-0.878004057	-0.93598426	-0.925754092	-0.882496887	0.739968479	-0.409155974	-0.169410861	0.788772289	-0.40618163	-0.219679083	0.368892111	0.4763433	-0.683439848	-0.792849504	-0.940261295	-0.930197246	-0.89418148	-0.139864134	-1	-0.587532171	-0.610237151	0.655361116	-0.699851586	0.743758584	-0.425532924	0.422930414	-0.458831098	0.50935016	-0.651473056	0.680036804	-0.7079166	0.732072705	0.358907811	0.203143954	-0.169191851	0.074450784	-0.009709855	0.019481439	-0.276121886	-0.185648954	-0.573746353
LAYING	3	0.275516853	-0.018955679	-0.101300478	-0.982776639	-0.962057545	-0.963691035	-0.985280124	-0.965100052	-0.966039689	-0.92009433	-0.550358654	-0.792728784	0.832767688	0.670005695	0.827783474	-0.971428698	-0.999593703	-0.999000354	-0.997004058	-0.988425679	-0.974761514	-0.97078966	-0.481913076	-0.569325769	-0.405468423	0.047395415	0.036158677	-0.087893533	0.148823113	0.168213939	-0.054589371	0.149083084	0.056120367	0.217524126	-0.124339144	0.158976785	-0.124848887	-0.057748146	-0.198585718	-0.376096497	-0.241758478	0.8370321	0.488703185	-0.982512193	-0.98120275	-0.964807544	-0.983290148	-0.982102796	-0.967132434	-0.303283453	0.793797915	0.483814385	-0.20073456	0.846302244	0.480051923	0.293472251	-0.947174559	0.414178305	-0.526918909	-0.984574115	-0.984754514	-0.973481245	-0.658263195	-0.697334321	-0.542016625	-0.505568137	0.525384071	-0.545365492	0.565630591	-0.218663265	0.179611351	-0.192290635	0.227116541	-0.426328399	0.443385474	-0.460296484	0.474481952	0.196565365	-0.426717395	-0.799381607	0.076981113	0.013804101	-0.004356259	-0.980879315	-0.968710725	-0.982093163
SITTING	3	0.257197599	-0.003502998	-0.09835792	-0.971010121	-0.856617812	-0.875110175	-0.974103206	-0.855595641	-0.867943869	-0.918644005	-0.476064687	-0.747584162	0.808842848	0.649726825	0.796661225	-0.894535263	-0.996692127	-0.979275196	-0.963848831	-0.980044058	-0.885422296	-0.865204214	-0.53248045	-0.311828097	-0.270119163	0.145435256	-0.011922805	0.034324799	0.039942013	0.014603666	-0.003038426	0.122169964	-0.009157285	0.094434784	-0.084445576	0.129583164	-0.138138021	-0.173679993	-0.195826108	0.30755504	0.901098985	0.127303379	0.139020582	-0.957324458	-0.903923008	-0.897736318	-0.958283096	-0.907230016	-0.899955963	0.840956977	0.121567806	0.151027121	0.906849382	0.118847541	0.114727773	-0.247934494	0.748138393	-0.917369063	-0.912624983	-0.961341644	-0.917991865	-0.907733282	-0.763746821	-0.363263031	-0.517489907	-0.432814702	0.449047563	-0.465325567	0.481763934	-0.531398736	0.50227815	-0.503783919	0.51863965	-0.598209793	0.605145971	-0.611648394	0.614915217	-0.503436814	-0.214421031	0.415605488	0.072609842	0.002725291	-0.004233484	-0.97446739	-0.953631391	-0.974661566
STANDING	3	0.280046513	-0.014337656	-0.101621723	-0.966742543	-0.893449307	-0.911419015	-0.973805271	-0.896517874	-0.906661986	-0.89331599	-0.496034383	-0.75743475	0.800094242	0.644027902	0.81253224	-0.927612971	-0.998529395	-0.99509755	-0.985254329	-0.982419032	-0.918584519	-0.899849163	-0.326560323	-0.319098932	-0.35330616	0.009389792	0.077513954	-0.057764198	0.148838837	-0.070732454	-0.006192864	0.148524474	0.042350401	0.030449776	-0.006958801	0.052017139	-0.094851261	0.174522981	-0.191808085	0.147171336	0.935030779	-0.30173513	0.024763107	-0.982020428	-0.957425322	-0.928161577	-0.982218366	-0.958626214	-0.929141128	0.86592938	-0.309386277	0.031653829	0.949053275	-0.285284768	0.009508463	-0.084362987	0.825520504	-0.842212022	-0.986567381	-0.983276174	-0.963104781	-0.932545893	-0.804027194	-1	-0.653494553	-0.465585604	0.497388934	-0.529515326	0.562056149	-0.581233458	0.564082296	-0.574944248	0.597658647	-0.547173636	0.557155425	-0.566836807	0.573483273	0.77526783	0.041787123	0.177417122	0.075090062	0.007716636	-0.008071779	-0.957086489	-0.941686786	-0.973059635
WALKING	3	0.275567462	-0.017176784	-0.11267486	-0.360356726	-0.069914065	-0.387411994	-0.409075189	-0.087374812	-0.392182467	-0.054973685	-0.09934673	-0.486518498	0.318428438	0.022459819	0.37039508	-0.245384124	-0.790377062	-0.83035216	-0.826168522	-0.519862184	-0.293566318	-0.422365772	0.249391493	0.326226629	0.189850783	-0.319573395	0.267903748	-0.02143951	-0.026988029	-0.135311724	0.17807264	0.181518109	-0.271749739	-0.259770312	0.272779301	0.036972753	-0.283072039	-0.210617312	-0.300079395	0.439107104	0.936506743	-0.261986358	-0.138107866	-0.977771591	-0.962355639	-0.952091795	-0.978270182	-0.962366609	-0.953759199	0.869812814	-0.271175037	-0.133766801	0.948792464	-0.241903842	-0.147167968	-0.007358565	0.829169455	-0.884954321	-0.95775921	-0.978513379	-0.963390749	-0.958620862	-0.682708952	-1	-1	-0.306655995	0.372120698	-0.433230684	0.489854769	-0.023815939	0.034033374	-0.109971763	0.209848735	-0.215668182	0.252933916	-0.288777634	0.320809456	0.236571095	0.140368771	0.119717908	0.081474588	0.010059149	-0.005622646	-0.268679644	-0.044961959	-0.529486116
WALKING_DOWNSTAIRS	3	0.292423485	-0.019355408	-0.116139843	-0.057410048	-0.033150372	-0.362240245	-0.140460458	-0.047526721	-0.360223784	0.408844101	-0.01667208	-0.374350518	0.14504528	0.083511399	0.415643968	-0.073138534	-0.541236672	-0.811507386	-0.805886497	-0.335621442	-0.244974246	-0.381759655	0.186420273	0.284493854	0.142969069	-0.299763423	0.23018881	-0.144367246	0.211645312	-0.165453347	0.206349489	0.02150124	0.06003276	-0.16358162	0.162181691	0.015250933	-0.132558753	-0.388041894	-0.163662556	0.158475916	0.939057788	-0.228829214	-0.102352758	-0.95006113	-0.946094638	-0.899943948	-0.950813991	-0.946821463	-0.901091651	0.883780598	-0.235724191	-0.087884276	0.943246171	-0.216421142	-0.124407909	-0.188035256	0.836015395	-0.912901714	-0.975143643	-0.95426234	-0.949350276	-0.905305322	-0.592058111	-1	-1	-0.577653877	0.639776316	-0.701096786	0.761618943	-0.218363196	0.241967715	-0.320558443	0.419464572	-0.41729719	0.439208868	-0.460461708	0.478449738	-0.069118814	-0.007657505	0.203033647	0.072568929	0.010970777	-0.00202728	-0.085801004	-0.111439195	-0.571735243
WALKING_UPSTAIRS	3	0.260819873	-0.032410941	-0.110064863	-0.313123438	0.011628081	-0.369754604	-0.359018923	-0.004484346	-0.348964196	-0.153548193	-0.123984563	-0.382521727	0.223084864	0.036512516	0.524622058	-0.181326533	-0.757836303	-0.795467227	-0.813607422	-0.450192095	-0.248724703	-0.339921979	0.520150459	0.303195794	0.06041943	-0.449480757	0.348210933	-0.258840027	0.267598504	-0.354524142	0.329016226	-0.086356283	0.073319106	-0.380000671	0.292781239	-0.130122499	-0.069460274	-0.556772286	-0.296964762	0.313487332	0.883533436	-0.382851154	-0.162943955	-0.944040819	-0.909825954	-0.909469675	-0.94490178	-0.910029734	-0.911166174	0.829762973	-0.372815949	-0.149215362	0.886007231	-0.374559465	-0.182930901	0.28536298	0.694817566	-0.741178665	-0.941510611	-0.947078746	-0.911539576	-0.917983669	-0.225092805	-1	-1	-0.678743724	0.725601183	-0.771835716	0.817500914	-0.46904178	0.487067986	-0.542616946	0.611976713	-0.648692865	0.66794097	-0.686510931	0.701417383	0.708661599	0.303960852	0.091883002	0.042688099	0.039724927	0.020820554	-0.458364617	-0.251680365	-0.708551712
LAYING	4	0.263559215	-0.015003184	-0.11068815	-0.954193739	-0.941714042	-0.962667315	-0.957949598	-0.945799267	-0.962876287	-0.912698487	-0.525265841	-0.795752859	0.795296876	0.666114173	0.826098314	-0.954208001	-0.99179177	-0.996750788	-0.997204961	-0.968542931	-0.962524586	-0.962377355	-0.347395084	-0.515419483	-0.491453484	0.014835137	0.008598831	-0.067472323	0.010410536	0.256938768	-0.064656571	0.196260099	-0.053153184	0.208882159	-0.070939622	0.049791916	-0.109784549	-0.078546783	-0.424052053	-0.048102287	-0.420664662	0.915165104	0.341531311	-0.921199966	-0.969816636	-0.976176609	-0.925286639	-0.971696884	-0.977004232	-0.447570871	0.869413071	0.334884573	-0.387814022	0.914977657	0.336816829	-0.227856547	-0.99359071	0.684171089	-0.74183381	-0.938903239	-0.977799345	-0.979210254	-0.608734069	-0.711017165	-0.663851659	-0.591236001	0.595289097	-0.598926379	0.602300846	-0.058035303	0.004853653	-0.013256162	0.048060766	-0.354891382	0.362353207	-0.36928098	0.373284348	-0.049016751	-0.523924495	-0.155121998	0.093449422	0.006933132	-0.006410543	-0.978302781	-0.942209488	-0.978511984
SITTING	4	0.27153828	-0.007163065	-0.105874596	-0.980309931	-0.890223981	-0.932203007	-0.98263608	-0.890895236	-0.929661087	-0.920399976	-0.490799601	-0.776137522	0.825681367	0.655475586	0.818606938	-0.938639827	-0.999235781	-0.988705817	-0.98899015	-0.985383514	-0.912943804	-0.929786921	-0.441399027	-0.295111899	-0.379741118	0.160940611	-0.014838706	0.036818621	0.000903663	0.029143968	0.0334418	0.055888255	-0.027385991	0.124301517	-0.084971863	0.042477333	-0.097183904	-0.219438312	-0.395745295	0.169306118	0.869303006	0.21162254	0.110120481	-0.981405295	-0.932727104	-0.950949255	-0.981604161	-0.934593604	-0.951694435	0.80213306	0.194043007	0.11052578	0.886152842	0.210064614	0.099691363	-0.25738125	0.670294215	-0.797425616	-0.969523545	-0.981797749	-0.941752367	-0.95504165	-0.836553252	-0.535659371	-0.417714602	-0.350129316	0.366967758	-0.383757739	0.40060183	-0.443706253	0.40930499	-0.411258493	0.4290492	-0.574907876	0.579889602	-0.5844499	0.585841873	-0.503719159	-0.554197337	0.122244177	0.078450024	-0.010858217	-0.012149995	-0.976742196	-0.944596106	-0.979038766
